time_A,pulse_height_A,time_B,pulse_height_B,time_C,pulse_height_C,time_D,pulse_height_D,time_E,pulse_height_E,time_F,pulse_height_F,time_G,pulse_height_G,time_H,pulse_height_H
9.280000000000002e-08,0.1889763779527559,9.2e-08,0.1377952755905512,9.760000000000001e-08,0.1732283464566929,9.360000000000002e-08,0.04094488188976378,9.760000000000001e-08,0.1220472440944882,9.600000000000001e-08,0.03543307086614173,9.680000000000002e-08,0.06692913385826772,9.920000000000001e-08,0.011811023622047244
1.0160000000000001e-07,0.007874015748031496,9.52e-08,0.1062992125984252,1.0080000000000002e-07,0.21653543307086615,9.920000000000001e-08,0.03937007874015748,1.0080000000000002e-07,0.003937007874015748,1.0000000000000001e-07,0.07874015748031496,9.920000000000001e-08,0.11023622047244094,9.920000000000001e-08,0.011811023622047244
1.9200000000000003e-08,0.003937007874015748,1.0080000000000002e-07,0.07874015748031496,1.04e-07,0.14566929133858267,1.0240000000000002e-07,0.07086614173228346,2.4000000000000004e-09,-0.0,1.04e-07,0.03937007874015748,1.0160000000000001e-07,0.047244094488188976,1.0320000000000001e-07,0.01968503937007874
1.8400000000000003e-08,0.003937007874015748,1.68e-08,0.003937007874015748,2.0640000000000002e-07,0.007874015748031496,9.440000000000001e-08,0.04094488188976378,8.000000000000001e-10,-0.0,1.1200000000000001e-08,0.003937007874015748,5.6000000000000005e-09,0.003937007874015748,9.920000000000001e-08,0.011811023622047244
1.28e-07,0.003937007874015748,5.6000000000000005e-09,0.003937007874015748,1.4960000000000002e-07,0.007874015748031496,6.496000000000001e-07,0.0015748031496062994,8.000000000000001e-10,-0.0,8.000000000000001e-10,0.003937007874015748,3.6000000000000005e-08,0.003937007874015748,9.920000000000001e-08,0.011811023622047244
9.920000000000001e-08,0.4251968503937008,1.0240000000000002e-07,0.19291338582677164,9.840000000000001e-08,0.5,1.0000000000000001e-07,0.1,1.0320000000000001e-07,0.30708661417322836,1.0480000000000001e-07,0.0984251968503937,1.0480000000000001e-07,0.4015748031496063,1.0640000000000001e-07,0.031496062992125984
4.5600000000000005e-08,0.003937007874015748,1.68e-08,0.003937007874015748,1.8480000000000001e-07,0.007874015748031496,9.920000000000001e-08,0.05511811023622047,1.6000000000000003e-09,-0.0,1.6000000000000003e-09,0.003937007874015748,1.2800000000000002e-08,0.003937007874015748,9.920000000000001e-08,0.011811023622047244
9.52e-08,0.14960629921259844,9.52e-08,0.12992125984251968,9.920000000000001e-08,0.17716535433070865,9.680000000000002e-08,0.03307086614173228,9.760000000000001e-08,0.10236220472440945,1.0160000000000001e-07,0.04330708661417323,1.0080000000000002e-07,0.051181102362204724,9.920000000000001e-08,0.011811023622047244
8.800000000000001e-08,0.003937007874015748,1.3600000000000003e-08,0.003937007874015748,7.200000000000001e-09,0.007874015748031496,1.0480000000000001e-07,0.05039370078740158,0.0,-0.0,4e-09,0.003937007874015748,1.4400000000000002e-08,0.003937007874015748,1.0240000000000002e-07,0.015748031496062992
1.1200000000000001e-08,0.003937007874015748,2.8800000000000003e-08,0.003937007874015748,3.6800000000000005e-08,0.007874015748031496,1.6000000000000003e-09,0.0007874015748031497,8.000000000000001e-10,-0.0,2.4000000000000004e-09,0.003937007874015748,3.2000000000000005e-09,0.003937007874015748,9.920000000000001e-08,0.011811023622047244
9.840000000000001e-08,0.003937007874015748,4.880000000000001e-08,0.003937007874015748,0.0,0.003937007874015748,3.2000000000000005e-09,0.0007874015748031497,2.4000000000000004e-09,-0.0,1.6000000000000003e-09,0.003937007874015748,5.120000000000001e-08,0.003937007874015748,9.920000000000001e-08,0.011811023622047244
4.640000000000001e-08,0.003937007874015748,1.9200000000000003e-08,0.003937007874015748,9.52e-08,0.007874015748031496,1.0000000000000001e-07,0.040157480314960636,3.208e-07,0.003937007874015748,3.2000000000000005e-09,0.003937007874015748,1.04e-08,0.003937007874015748,9.920000000000001e-08,0.011811023622047244
2.4000000000000003e-08,0.003937007874015748,6.400000000000001e-09,0.003937007874015748,1.0160000000000001e-07,0.3700787401574803,1.0240000000000002e-07,0.07086614173228346,1.6000000000000003e-09,-0.0,8.000000000000001e-10,0.003937007874015748,1.0000000000000001e-07,0.07480314960629922,1.0240000000000002e-07,0.01968503937007874
3.6800000000000005e-08,0.003937007874015748,2.6400000000000005e-08,0.003937007874015748,1.0080000000000002e-07,0.011811023622047244,1.0320000000000001e-07,0.07795275590551182,8.000000000000001e-10,-0.0,7.752000000000001e-07,0.007874015748031496,3.4400000000000004e-08,0.003937007874015748,1.0000000000000001e-07,0.01968503937007874
3.920000000000001e-08,0.003937007874015748,8e-09,0.003937007874015748,1.0240000000000002e-07,0.16929133858267717,9.920000000000001e-08,0.05039370078740158,9.920000000000001e-08,0.003937007874015748,6.400000000000001e-09,0.003937007874015748,1.0080000000000002e-07,0.08267716535433071,1.0160000000000001e-07,0.015748031496062992
9.52e-08,0.1220472440944882,9.440000000000001e-08,0.09448818897637795,9.920000000000001e-08,0.16141732283464566,9.840000000000001e-08,0.028346456692913385,9.680000000000002e-08,0.08267716535433071,9.760000000000001e-08,0.027559055118110236,9.760000000000001e-08,0.047244094488188976,9.920000000000001e-08,0.011811023622047244
8.080000000000002e-08,0.003937007874015748,1.0000000000000001e-07,0.13385826771653545,1.0480000000000001e-07,0.16929133858267717,9.840000000000001e-08,0.04488188976377953,3.1840000000000005e-07,0.003937007874015748,1.0160000000000001e-07,0.047244094488188976,1.0000000000000001e-07,0.06692913385826772,9.920000000000001e-08,0.011811023622047244
